date,hospitalCases,newAdmissions,newCasesByPublishDate,retail_and_recreation_change,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-10-11,4670.0,824.0,12872,-27.0,-13.0,49.0,-33.0,-6.0,4.0
2020-10-12,4959.0,889.0,13972,-27.0,-12.0,9.0,-40.0,-35.0,11.0
2020-10-13,5293.0,1031.0,17234,-29.0,-11.0,14.0,-41.0,-35.0,11.0
2020-10-14,5598.0,988.0,19724,-27.0,-9.0,23.0,-40.0,-33.0,11.0
2020-10-15,5933.0,1047.0,18980,-27.0,-7.0,29.0,-40.0,-33.0,11.0
2020-10-16,6296.0,925.0,15650,-27.0,-6.0,25.0,-37.0,-32.0,11.0
2020-10-17,6545.0,1032.0,16171,-33.0,-9.0,18.0,-40.0,-10.0,7.0
2020-10-18,6829.0,1091.0,16982,-30.0,-13.0,36.0,-38.0,-9.0,5.0
2020-10-19,7334.0,1108.0,18804,-26.0,-10.0,27.0,-41.0,-35.0,11.0
2020-10-20,7852.0,1193.0,21331,-28.0,-9.0,28.0,-41.0,-35.0,12.0
2020-10-21,8132.0,1264.0,26688,-31.0,-11.0,-2.0,-44.0,-35.0,13.0
2020-10-22,8311.0,1285.0,21242,-26.0,-6.0,34.0,-42.0,-34.0,12.0
2020-10-23,8886.0,1299.0,20530,-28.0,-6.0,19.0,-41.0,-35.0,12.0
2020-10-24,9262.0,1262.0,23012,-38.0,-12.0,-10.0,-44.0,-13.0,8.0
2020-10-25,9786.0,1424.0,19790,-29.0,-10.0,32.0,-39.0,-10.0,5.0
2020-10-26,10108.0,1541.0,20890,-21.0,-9.0,42.0,-44.0,-45.0,13.0
2020-10-27,10938.0,1499.0,22885,-27.0,-10.0,10.0,-47.0,-45.0,14.0
2020-10-28,11434.0,1494.0,24701,-23.0,-8.0,27.0,-45.0,-43.0,14.0
2020-10-29,11583.0,1592.0,23065,-27.0,-9.0,4.0,-48.0,-44.0,15.0
2020-10-30,11788.0,1385.0,24405,-26.0,-5.0,25.0,-43.0,-42.0,13.0
2020-10-31,12310.0,1461.0,21915,-38.0,-9.0,-15.0,-44.0,-13.0,8.0
2020-11-01,12230.0,1498.0,23254,-29.0,-13.0,-4.0,-40.0,-10.0,5.0
2020-11-02,13105.0,1574.0,18950,-17.0,-7.0,8.0,-40.0,-34.0,11.0
2020-11-03,13749.0,1526.0,20018,-17.0,-6.0,6.0,-39.0,-33.0,11.0
2020-11-04,13817.0,1688.0,25177,-11.0,-4.0,19.0,-36.0,-31.0,10.0
2020-11-05,13796.0,1591.0,24141,-54.0,-14.0,8.0,-52.0,-38.0,16.0
2020-11-06,13958.0,1418.0,23287,-55.0,-12.0,5.0,-52.0,-38.0,17.0
2020-11-07,14314.0,1560.0,24957,-60.0,-16.0,13.0,-58.0,-28.0,13.0
2020-11-08,14546.0,1692.0,20572,-60.0,-20.0,5.0,-57.0,-28.0,10.0
2020-11-09,15141.0,1768.0,21350,-47.0,-15.0,5.0,-50.0,-39.0,15.0
2020-11-10,14964.0,1856.0,20412,-48.0,-13.0,14.0,-49.0,-39.0,15.0
2020-11-11,15666.0,1972.0,22950,-49.0,-14.0,-1.0,-51.0,-38.0,16.0
2020-11-12,15879.0,1916.0,33470,-48.0,-10.0,19.0,-50.0,-39.0,16.0
2020-11-13,16236.0,1651.0,27301,-49.0,-8.0,7.0,-50.0,-38.0,16.0
2020-11-14,16299.0,1617.0,26860,-59.0,-16.0,-29.0,-59.0,-28.0,13.0
2020-11-15,16864.0,1675.0,24962,-57.0,-19.0,-5.0,-57.0,-28.0,10.0
2020-11-16,17313.0,1771.0,21363,-46.0,-14.0,2.0,-50.0,-39.0,15.0
2020-11-17,17439.0,1718.0,20051,-48.0,-12.0,6.0,-50.0,-39.0,15.0
2020-11-18,17486.0,1786.0,19609,-49.0,-13.0,-7.0,-51.0,-38.0,16.0
2020-11-19,17459.0,1687.0,22915,-48.0,-10.0,6.0,-51.0,-39.0,16.0
2020-11-20,17184.0,1551.0,20252,-50.0,-8.0,-17.0,-51.0,-38.0,17.0
2020-11-21,17063.0,1461.0,19875,-56.0,-12.0,-8.0,-56.0,-26.0,12.0
2020-11-22,17264.0,1492.0,18662,-53.0,-15.0,25.0,-53.0,-26.0,9.0
2020-11-23,17680.0,1588.0,15450,-44.0,-12.0,4.0,-50.0,-39.0,15.0
