areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2020-07-26,1383,109,745,,
K02000001,United Kingdom,overview,2020-07-25,1401,119,767,,
K02000001,United Kingdom,overview,2020-07-24,1453,158,768,,
K02000001,United Kingdom,overview,2020-07-23,1538,200,769,,
K02000001,United Kingdom,overview,2020-07-22,1747,158,560,,
K02000001,United Kingdom,overview,2020-07-21,1634,126,445,,
K02000001,United Kingdom,overview,2020-07-20,1734,130,557,,
K02000001,United Kingdom,overview,2020-07-19,1742,126,726,,
K02000001,United Kingdom,overview,2020-07-18,1776,105,827,,
K02000001,United Kingdom,overview,2020-07-17,1804,144,687,,
K02000001,United Kingdom,overview,2020-07-16,1829,166,642,,
K02000001,United Kingdom,overview,2020-07-15,1974,166,538,,
K02000001,United Kingdom,overview,2020-07-14,1993,186,398,,
K02000001,United Kingdom,overview,2020-07-13,2112,189,530,,
K02000001,United Kingdom,overview,2020-07-12,2100,114,650,,
K02000001,United Kingdom,overview,2020-07-11,2118,177,820,,
K02000001,United Kingdom,overview,2020-07-10,2243,176,512,,
K02000001,United Kingdom,overview,2020-07-09,2344,213,642,,
K02000001,United Kingdom,overview,2020-07-08,2454,208,630,,
K02000001,United Kingdom,overview,2020-07-07,2598,215,581,,
K02000001,United Kingdom,overview,2020-07-06,2699,204,343,,
K02000001,United Kingdom,overview,2020-07-05,2741,196,516,,
K02000001,United Kingdom,overview,2020-07-04,2802,202,624,,
K02000001,United Kingdom,overview,2020-07-03,2942,214,544,,
K02000001,United Kingdom,overview,2020-07-02,3079,217,576,,
K02000001,United Kingdom,overview,2020-07-01,3198,269,829,,
K02000001,United Kingdom,overview,2020-06-30,3383,295,689,,
K02000001,United Kingdom,overview,2020-06-29,3748,220,815,,
K02000001,United Kingdom,overview,2020-06-28,3557,208,901,,
K02000001,United Kingdom,overview,2020-06-27,3544,287,890,,
K02000001,United Kingdom,overview,2020-06-26,3620,339,1006,,
K02000001,United Kingdom,overview,2020-06-25,3850,324,1118,,
K02000001,United Kingdom,overview,2020-06-24,4030,368,653,,
K02000001,United Kingdom,overview,2020-06-23,4134,363,874,,
K02000001,United Kingdom,overview,2020-06-22,4281,394,958,,
K02000001,United Kingdom,overview,2020-06-21,4222,288,1221,,
K02000001,United Kingdom,overview,2020-06-20,4252,257,1295,,
K02000001,United Kingdom,overview,2020-06-19,4414,336,1346,,
K02000001,United Kingdom,overview,2020-06-18,4560,403,1218,,
K02000001,United Kingdom,overview,2020-06-17,4719,432,1115,,
